ID,Status,Number_of_port,location,Lat,Lon,Address
14,A,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7726323,-112.0178399,16.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x1917b1cce6c99f4b!8m2!3d40.7723072!4d-112.0196486",40.7723072,-112.0196486,"202 Jimmy Doolittle Rd, Salt Lake City, UT 84116"
15,A,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.772035,-111.9468383,15.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x80e55a5cc8ddd675!8m2!3d40.7764651!4d-111.9339278",40.7764651,-111.9339278,"290 N 1460 W, Salt Lake City, UT 84116"
16,U,8,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.772035,-111.9468383,15.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x39b4330e53b9a546!8m2!3d40.7712611!4d-111.9323829",40.7712611,-111.9323829,"1407 W North Temple, Salt Lake City, UT 84116"
17,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7593423,-111.9478359,17.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x87ea3ae3d464da79!8m2!3d40.7586577!4d-111.9467032",40.7586577,-111.9467032,"1990 W 500 S, Salt Lake City, UT 84104"
18,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7593423,-111.9478359,17.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x8752f486b433c4b3:0xb7ff7eb51a6f400a!8m2!3d40.7576622!4d-111.945977",40.7576622,-111.945977,"1965 W 500 S, Salt Lake City, UT 84104"
19,U,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7212054,-111.9482614,15.5z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xa3957886bbec2014!8m2!3d40.7197457!4d-111.9430527",40.7197457,-111.9430527,"1920 Alexander St, West Valley City, UT 84119"
20,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7212054,-111.9482614,15.5z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x196a489c0a4235e1!8m2!3d40.7276084!4d-111.9600177",40.7276084,-111.9600177,"2010 S 2760 W, Salt Lake City, UT 84104"
21,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7129161,-111.992195,15z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xb2c4665841d1fc89!8m2!3d40.7130572!4d-111.9851473",40.7130572,-111.9851473,"3930 Parkway Blvd, West Valley City, UT 84120"
22,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.7129161,-111.992195,15z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x9d17ed4f22ca30cc!8m2!3d40.7138847!4d-112.0023912",40.7138847,-112.0023912,"4646 Lake Park Blvd, West Valley City, UT 84120"
23,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.6952481,-111.9630882,18.5z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0x6a543264746787e3!8m2!3d40.69568!4d-111.96336",40.69568,-111.96336,"3538 Beehive St, West Valley City, UT 84119"
24,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.6952481,-111.9630882,18.5z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x87528c99fadd0965:0x6a7dcf62bc451e91!8m2!3d40.695666!4d-111.9635783",40.695666,-111.9635783,"3532 Beehive St, West Valley City, UT 84119"
25,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.6954919,-111.9626848,18.25z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x87528c9994758fc9:0xb8b7926c0e6f3c37!8m2!3d40.696271!4d-111.9624183",40.696271,-111.9624183,"2945 W 3500 S, West Valley City, UT 84119"
26,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.694648,-111.9617188,18z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x0:0xec9494a8cf4a7b4f!8m2!3d40.694648!4d-111.9610681",40.694648,-111.9610681,"2843 W 3590 S, West Valley City, UT 84119"
27,A,4,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.6949094,-111.961152,20z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x87528c9bcbd72ae5:0x5eb997193b1e6e26!8m2!3d40.6946482!4d-111.9608418",40.6946482,-111.9608418,"2846 Lehman Ave, West Valley City, UT 84119"
28,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.6952649,-111.9608994,19.5z/data=!4m8!1m2!2m1!1schargepoint!3m4!1s0x87528c9bd0d952dd:0x99eec0699520b870!8m2!3d40.6953641!4d-111.9606118",40.6953641,-111.9606118,"2842 W 3590 S, West Valley City, UT 84119"
29,A,2,"https://www.google.com/maps/place/ChargePoint+Charging+Station/@40.6667111,-111.984744,17z/data=!4m13!1m7!3m6!1s0x87528c44afbe7601:0x9945cfad9840b9c4!2s3845+W+4700+S,+Taylorsville,+UT+84129!3b1!8m2!3d40.6667111!4d-111.9825553!3m4!1s0x87528c44ba120e65:0xb655113368a30ada!8m2!3d40.6664169!4d-111.9831021",40.6664169,-111.9831021,"3845 W 4700 S, Salt Lake City, UT 84118"
